1,17
1,72
2,3
2,19
2,20
2,27
2,29
2,31
2,67
2,71
2,132
2,136
3,4
3,19
3,20
3,31
3,67
3,136
4,19
4,20
4,29
4,54
4,71
5,72
6,9
6,13
6,16
6,26
6,49
6,66
6,105
7,12
7,24
7,74
7,75
8,112
9,13
9,47
9,49
9,51
9,56
9,74
9,75
9,78
9,91
10,17
10,37
10,72
10,122
11,12
11,17
11,32
11,37
11,74
11,124
12,37
12,74
12,75
13,32
13,47
13,56
13,66
13,105
14,22
14,26
14,50
14,64
14,68
14,72
14,73
14,132
15,85
16,26
16,50
16,64
16,73
16,107
17,21
17,24
17,25
17,32
17,36
17,37
17,39
17,40
17,43
17,48
17,55
17,58
17,60
17,61
17,95
17,101
17,105
17,115
17,121
17,122
17,124
17,128
18,20
18,27
18,69
19,27
19,48
19,67
19,69
19,71
19,132
19,136
20,27
20,28
20,29
20,31
20,54
20,69
20,107
20,132
20,136
21,70
21,83
21,124
22,31
22,38
22,50
22,72
22,91
22,105
22,126
23,33
23,91
23,111
23,120
24,25
24,39
24,58
24,60
24,122
25,55
26,47
26,51
26,64
26,91
26,105
26,139
27,31
27,48
27,69
27,71
27,136
28,31
28,65
28,69
28,123
28,132
29,54
29,67
29,69
29,132
30,38
30,44
30,65
31,48
31,67
31,72
31,134
32,40
32,49
32,56
32,74
32,75
32,103
32,124
32,141
33,34
33,120
34,81
34,120
35,53
35,76
35,107
35,119
35,123
35,125
36,37
36,39
36,60
36,89
37,40
37,56
37,72
37,74
37,100
37,115
38,91
39,41
39,48
39,58
39,60
39,70
40,60
41,59
41,60
41,115
41,122
42,81
43,52
43,61
43,90
43,99
43,100
43,101
43,105
43,117
43,122
43,142
44,77
44,78
44,105
45,68
45,118
45,119
46,95
46,100
46,108
47,131
47,137
47,139
48,72
48,74
48,90
48,101
49,51
49,66
49,75
49,139
50,64
50,65
50,68
50,72
50,105
50,107
50,118
50,123
51,112
51,130
51,132
51,139
52,105
53,57
53,63
53,64
53,77
53,105
53,119
53,123
53,125
54,71
54,136
56,66
56,74
56,95
56,105
56,122
56,137
57,95
57,102
57,117
57,121
58,60
58,70
58,104
59,137
60,104
60,115
60,121
61,95
61,101
62,95
64,73
64,74
64,105
64,132
64,142
64,143
65,67
65,118
65,123
65,125
65,132
65,136
66,95
66,131
66,139
67,69
67,71
67,118
67,125
67,132
67,136
68,72
68,91
68,105
68,123
68,125
68,134
68,143
69,71
70,79
70,124
72,135
72,136
72,143
73,123
73,125
73,132
73,143
74,75
74,94
74,105
74,108
74,114
74,132
74,137
75,95
75,97
75,137
75,139
76,100
76,115
77,82
77,99
77,100
77,101
77,105
77,142
78,91
78,105
78,111
78,118
79,90
79,102
79,121
80,112
82,91
82,95
82,115
82,120
83,105
83,122
84,86
84,130
84,141
85,86
85,113
85,129
85,130
85,133
85,141
86,113
86,129
86,130
86,141
87,111
87,116
88,95
88,112
90,99
90,109
91,105
91,107
91,111
91,116
91,120
91,122
91,128
91,142
92,141
93,100
93,109
94,102
94,112
95,101
95,108
95,109
95,117
95,118
95,122
95,124
95,142
96,126
96,128
98,130
99,101
99,110
99,124
100,109
100,117
100,124
101,105
101,118
102,117
102,121
103,109
103,117
104,121
104,124
105,107
105,111
105,117
105,119
105,122
105,139
105,142
106,111
106,116
106,120
107,118
107,125
108,112
110,122
110,124
110,138
112,124
114,121
115,120
118,119
118,123
118,125
118,143
119,123
121,137
122,142
123,125
123,143
124,138
126,129
127,130
129,134
130,141
132,136
133,141
134,140
142,143
